Y,V1,V2,V3,V4,Season,WindSpeed,Atmosphere,wdx,wdy
145.767703245325,34.409,35.927,12.238,1.865,S1,6.872,1.054,0.14725884305795392,0.9890979896558444
23.5084893013277,38.58,38.334,7.504,0.167,S1,6.152,1.054,0.6058201566434628,0.795601620036366
52.3299755067563,35.204,39.062,6.475,5.531,S1,3.745,1.054,-0.7494319416949984,0.6620813883256834
15.3462963952431,41.186,42.292,6.485,,S1,5.473,1.054,0.38184923976279245,0.9242246253441733
23.9178956039186,34.98,40.662,6.011,0.0,S1,1.888,1.054,0.9565109241183156,-0.2916965067365838
122.061217198507,25.968,28.554,9.315,0.0,S1,5.449,1.054,-0.1880768388928801,0.9821543171376185
13.4965778407835,35.748,37.71,9.226,0.887,S1,4.883,1.054,0.18571191052481342,0.9826042368569472
70.4386500451587,37.401,44.008,8.088,0.316,S1,4.308,1.054,-0.2746288339866381,0.9615503125386313
60.7190896653114,38.944,40.306,6.392,0.0,S1,4.74,1.054,0.862807070514761,0.5055333412048469
20.2847930000832,39.121,39.26,3.793,0.0,S1,5.513,1.054,0.385543073615936,0.922689838671033
21.3975139472743,36.149,44.728,5.89,0.0,S1,3.259,1.054,-0.03919363177298771,0.9992316344213905
82.8437696428264,40.698,45.516,11.219,0.027,S1,5.586,1.054,0.272313255749178,0.9622086523947302
50.9897690446643,33.155,34.98,5.549,0.0,S1,5.413,1.054,0.5190988868333698,0.8547141894740934
122.254807255871,35.154,40.392,11.267,0.421,S1,2.626,1.054,0.996304278638842,0.08589402986201551
32.5764580103535,30.705,34.01,7.076,1.858,S1,6.928,1.054,0.19454770798898718,0.9808930570231557
50.3635343615649,32.242,32.751,7.144,0.762,S1,5.392,1.054,0.42031852118399843,0.9073766256355167
12.1211197567481,29.702,33.303,8.635,0.0,S1,4.26,1.054,0.23847605343372313,0.9711483779210446
60.8809781444688,30.262,31.334,13.539,0.0,S1,5.341,1.054,-0.15161669619172638,0.9884393645722057
14.8735489715901,31.162,32.008,4.546,0.696,S1,5.138,1.054,0.3361220349964831,0.9418184419461232
70.3988297270698,37.646,41.405,9.155,0.0,S1,5.497,1.054,0.5628223338863407,0.8265778974051583
15.8681564748777,34.001,35.483,9.948,2.305,S1,3.123,1.054,0.9984324097278344,0.05597073525575547
4.59555647418386,37.046,40.136,5.949,0.0,S1,4.004,1.054,-0.18709459070102316,0.9823419028680476
43.9414719591156,36.304,42.2,2.971,,S1,7.317,1.054,0.265571178541018,0.9640912556020487
33.0573749539333,35.627,41.422,5.215,0.0,S1,6.189,1.054,0.7248360107409052,0.6889214451105513
24.8352690464826,37.344,33.252,4.759,3.723,S1,2.68,1.054,-0.7520742647385658,0.6590783719087934
9.14305993859331,34.149,36.092,4.198,0.732,S1,4.884,0.534,-0.14963951554720956,0.9887406208843634
8.17984116666565,37.613,47.778,8.29,,S1,2.557,0.534,0.9796672793120416,-0.2006290653054594
39.9307058622091,33.136,33.114,10.282,0.0,S1,3.559,0.534,0.8846749491085283,0.4662083594486727
77.0231818378418,35.508,45.486,6.768,1.058,S1,5.309,0.534,0.8185006443936125,0.5745056093087701
45.9776434335017,27.221,38.696,5.525,3.438,S1,4.559,0.534,-0.19298523906145706,0.9812016599580293
43.0246716936309,38.935,41.486,5.494,1.832,S1,4.786,0.534,0.6726589323399843,0.7399526746645575
86.4823265651188,35.976,35.632,7.418,0.0,S1,4.057,0.534,-0.2698176696029452,0.9629114316332712
63.2992293862609,36.887,38.735,9.834,2.064,S1,6.019,0.534,,
39.4268610555387,33.803,38.943,6.727,5.077,S1,4.03,0.534,-0.6328307268021941,0.7742901724902665
71.0753117211794,29.576,32.725,6.935,0.0,S1,4.985,0.534,-0.31570890170172144,0.94885609519373
36.2208714318938,34.198,37.195,7.311,0.0,S1,3.797,0.534,0.9941736665004669,0.10779017041000746
16.9194579747743,36.168,36.216,11.033,2.462,S1,3.8,0.534,0.971811437112645,0.23575947636745317
66.8896123774769,33.334,36.003,9.142,0.311,S1,3.599,0.534,0.7109135380122773,0.7032794192004103
49.6184393932725,27.422,30.567,12.503,0.66,S1,6.486,0.534,0.26846225290000847,0.9632902048540989
9.95990530587673,31.498,34.664,10.43,1.591,S1,5.003,0.534,0.7524647378001358,0.6586325366753246
31.3692332514954,26.424,32.999,5.416,1.309,S1,5.083,0.534,-0.5262663347043051,0.850319789818452
9.9140116098368,34.538,37.625,7.105,,S1,0.028,0.534,-0.8748875905293269,-0.48432603062171753
4.15939866666548,32.644,38.978,4.622,0.298,S1,4.417,0.534,0.19748950728201042,0.9803050007592069
67.3077826281388,28.213,31.786,11.522,0.609,S1,4.185,0.534,0.971811437112645,0.23575947636745317
7.9351035614287,24.498,32.172,9.74,0.38,S1,5.073,0.534,0.6637312824868916,0.7479711121749998
8.95944841621535,25.169,32.66,4.219,0.0,S1,4.518,0.534,-0.25050676309135106,0.9681148494086297
28.4035862920482,29.319,32.898,6.345,0.0,S1,5.415,0.534,0.4527046874160087,0.8916605105036186
9.53982503892834,38.785,38.677,5.883,0.0,S1,4.988,0.534,0.7282715431826874,0.685288668657455
39.4458081689027,31.703,43.179,12.176,2.561,S1,4.755,0.534,0.005796294338028719,0.9999832013448761
45.6031070437806,38.22,42.321,5.333,1.579,S1,4.935,0.534,0.35956001080427363,0.933121963427306
18.812191161825,30.302,37.461,6.285,0.0,S1,4.714,-0.227,0.6223929842447792,0.7827049080993922
104.849412884858,37.733,41.38,8.283,2.006,S1,4.151,-0.227,-0.38684123561161576,0.9221463324388806
28.6428134948012,37.182,40.44,6.201,1.655,S1,4.704,-0.227,0.690945627338365,0.7229067298497043
60.3482935013123,,44.297,13.388,0.0,S1,2.778,-0.227,0.9741204024163344,0.22602973608850416
34.7386241430061,33.717,35.818,9.88,0.0,S1,6.087,-0.227,0.22095769449450242,0.9752833932984167
66.3831140349354,,28.396,5.046,1.679,S1,4.813,-0.227,0.273275328084588,0.9619358580800805
38.3456058448887,35.669,38.046,4.167,0.0,S1,3.322,-0.227,0.9962178864711978,0.0868902910275923
19.9392383347285,33.565,37.339,5.962,3.726,S1,3.913,-0.227,0.7241467269926397,0.6896459365397923
10.9162710835323,36.858,38.957,10.107,2.014,S1,4.128,-0.227,0.7504854570651743,0.6608869636584431
12.4726510389217,28.011,40.159,7.059,1.524,S1,5.019,-0.227,-0.8388698494203435,0.5443320454772896
21.8782643031373,33.272,36.511,10.362,0.0,S1,4.559,-0.227,,
34.8166975190661,35.63,31.912,5.677,1.638,S1,1.088,-0.227,-0.09207308354002719,-0.9957522519620186
40.1116233156278,32.47,35.21,6.96,0.0,S1,4.22,-0.227,0.6902223752562149,0.7235973139085502
25.8336228715649,26.887,32.028,5.956,,S1,3.936,-0.227,-0.026200674592491566,0.9996567033991711
42.4429297869444,32.322,33.332,10.246,1.387,S1,6.085,-0.227,0.7411597954431091,0.6713286509741178
19.077551411139,37.322,44.633,4.196,2.99,S1,3.921,-0.227,0.6829520118849076,0.7304632430604273
68.7792870304135,34.947,35.185,6.949,4.687,S1,5.089,-0.227,0.9902159962126371,-0.1395431146442365
31.5887918517353,34.602,38.948,7.143,0.0,S1,3.653,-0.227,0.7384685587295879,0.674287911628145
21.5355214432172,39.758,43.868,4.442,0.0,S1,6.324,-0.227,0.2713509111005347,0.9624804845008078
5.58949757712552,41.055,41.427,4.891,1.126,S1,4.362,-0.227,0.805664471353141,0.5923721462047856
21.8724350108668,37.954,41.952,3.977,,S1,1.815,-0.227,0.9736663950053749,-0.2279775235351884
27.820138483221,35.236,37.777,8.225,0.422,S1,4.897,-0.227,-0.21549984523413085,0.9765038743927572
36.3875308667561,39.787,41.542,6.631,1.789,S1,7.161,-0.227,-0.45039140167622016,0.8928312188180528
53.2245911235899,28.993,36.465,7.534,0.218,S1,2.832,-0.227,0.19748950728201042,0.9803050007592069
23.1243154993395,32.99,36.993,3.897,1.195,S1,5.241,-0.227,0.7693329357103922,0.638848052381182
31.6510366394854,24.399,24.877,9.932,6.033,S1,0.798,0.863,0.9694052914750845,-0.24546564089523104
32.3715982938476,28.004,29.997,5.565,0.768,S1,4.585,0.863,0.812714759359802,0.5826617542955254
14.6025840304393,35.944,49.435,7.741,0.672,S1,3.761,0.863,0.9122715937725977,0.4095858142021088
61.5548185968278,30.753,35.035,10.575,0.284,S1,3.067,0.863,0.9694052914750845,0.24546564089523104
